Plataforma,Tipo,Empresa,Lanzamiento,Unidades vendidas
PlayStation 2,Domestica,Sony,2000,>155 millones
Nintendo DS,Portatil,Nintendo,2004,"154,02 millones"
Nintendo Switch,Hibrida,Nintendo,2017,"132,46 millones"
Game Boy y Game Boy Color,Portatil,Nintendo,"1989, 1998","118,69 millones"
PlayStation 4,Domestica,Sony,2013,"117,2 millones"
PlayStation,Domestica,Sony,1994,"102,49 millones"
Wii,Domestica,Nintendo,2006,"101,63 millones"
PlayStation 3,Domestica,Sony,2006,">87,4 millones"
Xbox 360,Domestica,Microsoft,2005,84 millones
Game Boy Advance,Portatil,Nintendo,2001,"81,5 millones"
PlayStation Portable,Portatil,Sony,2004,80-82 millones (estimado)
Nintendo 3DS,Portatil,Nintendo,2011,"75,94 millones"
NES/Famicom,Domestica,Nintendo,1983,"61,91 millones"
Xbox One,Domestica,Microsoft,2013,58 millones
SNES/Super Famicom,Domestica,Nintendo,1990,"49,1 millones"
Game & Watch,Portatil,Nintendo,1980,"43,4 millones"
PlayStation 5,Domestica,Sony,2020,40 millones
Nintendo 64,Domestica,Nintendo,1996,"32,93 millones"
Sega Mega Drive/Genesis,Domestica,Sega,1988,"30,75 millones"
Atari 2600,Domestica,Atari,1977,30 millones
Xbox,Domestica,Microsoft,2001,24 millones
GameCube,Domestica,Nintendo,2001,"21,74 millones"
Xbox Series X/S,Domestica,Microsoft,2020,>21 millones
Wii U,Domestica,Nintendo,2012,"13,56 millones"
PlayStation Vita,Portatil,Sony,2011,10-15 millones (estimado)
Sega Master System,Domestica,Sega,1986,10-13 millones
Sega Game Gear,Portatil,Sega,1990,"10,62 millones"
PC Engine/TurboGrafx-16,Domestica,NEC/Hudson,1987,10 millones
Sega Saturn,Domestica,Sega,1994,"9,26 millones"
Dreamcast,Domestica,Sega,1998,"9,13 millones"
Master System (variantes),Domestica,Tectoy,1989,8 millones
Dendy (Famiclon),Domestica,Micro Genius,1992,6 millones
SNES Classic Edition,Dedicada,Nintendo,2017,"5,28 millones"
Famicom Disk System,Periferico de consola domestica,Nintendo,1986,"4,5 millones"
NES Classic Edition,Dedicada,Nintendo,2016,"3,56 millones"
WonderSwan,Portatil,Bandai,1999,"3,5 millones"
Sega Pico,Domestica,Sega,1993,">3,4 millones"
Color TV-Game,Dedicada,Nintendo,1977,3 millones
Intellivision,Dedicada,Mattel,1980,3 millones
Mega Drive (variantes),Dedicada,Tectoy,1990,3 millones
N-Gage,Portatil,Nokia,2003,3 millones
Sega CD,Periferico de consola domestica,Sega,1991,"2,24 millones"
ColecoVision,Domestica,Coleco,1982,>2 millones
Magnavox Odyssey,Domestica,Magnavox/Philips,1978,2 millones
PC Engine CD-ROM,Periferico de consola domestica,NEC,1988,"1,92 millones"
Steam Deck,Portatil,Valve,2022,"1,6 millones (estimado)"
Atari 7800,Domestica,Atari,1986,>1 millon
Atari Lynx,Portatil,Atari,1989,>1 millon
Philips CD-i,Domestica,Philips,1990,>1 millon
Coleco Telstar,Dedicada,Coleco,1976,>1 millon
Atari 5200,Dedicada,Atari,1982,1 millon
